feature,n,sorting policy,mean_forum,ci_lower,ci_upper,median_rank,rank_iqr,p_rank_1,p_rank_top3
lexdiv,10,chron_pinned_rh,0.09350351513738266,0.08438883375661853,0.10174269422992178,43.0,1.0,0.0,0.0
lexdiv,10,chron_pinned_rl,0.06455198640111647,0.05501155077818814,0.07275369793152277,50.0,0.0,0.0,0.0
lexdiv,10,chron_pinned_rt,0.0067585217406839464,-0.0028243479229492774,0.01538983332555446,57.0,0.0,0.0,0.0
lexdiv,10,chron_rh,-0.03664514926931449,-0.0444027198789435,-0.02923017007183632,63.0,0.0,0.0,0.0
lexdiv,10,chron_rl,-0.08806665467973028,-0.09616201627654138,-0.08073414895585657,64.0,0.0,0.0,0.0
lexdiv,10,chron_rt,-0.109829102010975,-0.11848957719338696,-0.10186921049389903,65.0,0.0,0.0,0.0
lexdiv,10,least-neg-abs_pinned_rh,0.15109732884245325,0.1430108952061533,0.16007804395017752,31.0,2.0,0.0,0.0
lexdiv,10,least-neg-abs_pinned_rl,0.13255754583716672,0.12352823433865918,0.14188701289596972,33.0,1.0,0.0,0.0
lexdiv,10,least-neg-abs_pinned_rt,-0.022784428423676173,-0.031530983921589366,-0.01385595754476161,61.0,0.0,0.0,0.0
lexdiv,10,least-neg-abs_rh,0.08696364286132192,0.07944611146203528,0.095259025707404,45.0,1.0,0.0,0.0
lexdiv,10,least-neg-abs_rl,0.057632891365755876,0.04923228805106372,0.06643202699083357,52.0,2.0,0.0,0.0
lexdiv,10,least-neg-abs_rt,-0.12950295776692594,-0.13837199534498273,-0.12071751476959752,66.0,0.0,0.0,0.0
lexdiv,10,neg-abs_pinned_rh,0.19743525735669853,0.18964437664234648,0.20518421432876982,22.0,2.0,0.0,0.0
lexdiv,10,neg-abs_pinned_rl,0.17292164689479494,0.16516028481511766,0.18080782574537616,27.0,1.0,0.0,0.0
lexdiv,10,neg-abs_pinned_rt,0.04932783408913838,0.04068750513533254,0.05809850347296044,55.0,2.0,0.0,0.0
lexdiv,10,neg-abs_rh,0.15206396950462,0.14429430207792454,0.15899098618013632,31.0,2.0,0.0,0.0
lexdiv,10,neg-abs_rl,0.1138151251953409,0.10621003869544525,0.12106405370959462,37.0,1.0,0.0,0.0
lexdiv,10,neg-abs_rt,0.0019226758420971492,-0.006660301248619686,0.010732677664404694,58.0,0.0,0.0,0.0
lexdiv,10,pin-pred-lr_pinned_rh,0.29486700641752595,0.28794167694400746,0.30153470131628374,10.0,2.0,0.0,0.0
lexdiv,10,pin-pred-lr_pinned_rl,0.29485317430780383,0.28796850756310455,0.30154584792771943,10.0,3.0,0.0,0.0
lexdiv,10,pin-pred-lr_pinned_rt,0.11367605062882527,0.1049437157269107,0.1216830429678372,38.0,1.0,0.0,0.0
lexdiv,10,pin-pred-lr_rh,0.2946107946262369,0.287789818061836,0.30094499700354593,11.0,2.0,0.0,0.0
lexdiv,10,pin-pred-lr_rl,0.2946107946262369,0.287789818061836,0.30094499700354593,11.0,2.0,0.0,0.0
lexdiv,10,pin-pred-lr_rt,0.12585685694026275,0.11783931898959224,0.13320969087280382,35.0,0.0,0.0,0.0
lexdiv,10,pin-pred-xgb_pinned_rh,0.3064911916772755,0.29995436019856925,0.31281395090083913,8.0,0.0,0.0,0.0
lexdiv,10,pin-pred-xgb_pinned_rl,0.30990771467897177,0.30349884591669907,0.3161283498282351,6.0,0.0,0.0,0.0
lexdiv,10,pin-pred-xgb_pinned_rt,0.1212499103999036,0.11259745848343009,0.13015317422757233,36.0,0.0,0.0,0.0
lexdiv,10,pin-pred-xgb_rh,0.30822951184831876,0.3018051335755002,0.31472941515236874,7.0,0.0,0.0,0.0
lexdiv,10,pin-pred-xgb_rl,0.3116524677210128,0.3052909837610147,0.3180495878606989,5.0,0.0,0.0,0.0
lexdiv,10,pin-pred-xgb_rt,0.1321153460106328,0.12407553795509012,0.1399594435901536,34.0,1.0,0.0,0.0
lexdiv,10,pos-abs_pinned_rh,0.2147413167861158,0.20726275571730746,0.2218593324162105,17.0,0.0,0.0,0.0
lexdiv,10,pos-abs_pinned_rl,0.20269801580453214,0.1952074081426498,0.21001267014180752,19.0,0.0,0.0,0.0
lexdiv,10,pos-abs_pinned_rt,0.07199764126057231,0.06311231137032769,0.0804386840571711,48.0,1.0,0.0,0.0
lexdiv,10,pos-abs_rh,0.1987445186640358,0.19184926458234955,0.20619408860943803,21.0,1.0,0.0,0.0
lexdiv,10,pos-abs_rl,0.18488431419286105,0.17746841694812082,0.19263550407641114,24.0,0.0,0.0,0.0
lexdiv,10,pos-abs_rt,0.05283467752406746,0.04392340054275028,0.061403173329926106,53.0,1.0,0.0,0.0
lexdiv,10,pos-rel_pinned_rh,0.2113160950624949,0.2040393288928611,0.21870485020875097,18.0,0.0,0.0,0.0
lexdiv,10,pos-rel_pinned_rl,0.19849230154352013,0.19111483395046244,0.20591178154638035,21.0,1.0,0.0,0.0
lexdiv,10,pos-rel_pinned_rt,0.07081912897803119,0.06168663328607937,0.07934141065718753,48.0,1.0,0.0,0.0
lexdiv,10,pos-rel_rh,0.19230095915459122,0.18521568100766786,0.19962440148399008,23.0,0.0,0.0,0.0
lexdiv,10,pos-rel_rl,0.17739429916521174,0.170292211612615,0.18511790226640953,26.0,1.0,0.0,0.0
lexdiv,10,pos-rel_rt,0.05010898031123118,0.0408233368779521,0.05868413322937584,55.0,2.0,0.0,0.0
lexdiv,10,pred-nb_pinned_rh,0.391936737051889,0.3847233196660782,0.39861235450928983,4.0,0.0,0.0,0.002
lexdiv,10,pred-nb_pinned_rl,0.39229796458245836,0.3852011686502446,0.39895876692589416,3.0,0.0,0.0,0.998
lexdiv,10,pred-nb_pinned_rt,0.15182381520113672,0.14272265667500172,0.16051638288169665,31.0,2.0,0.0,0.0
lexdiv,10,pred-nb_rh,0.40709552513139435,0.40030891286252795,0.41350726706608326,2.0,0.0,0.002,1.0
lexdiv,10,pred-nb_rl,0.4074493631707855,0.40057325010103895,0.41383526362869044,1.0,0.0,0.998,1.0
lexdiv,10,pred-nb_rt,0.17685959860676367,0.16887310626245725,0.18531045114635572,26.0,1.0,0.0,0.0
lexdiv,10,pred-xgb_pinned_rh,0.2892538525989719,0.28261572224964526,0.2954139929786082,14.0,0.0,0.0,0.0
lexdiv,10,pred-xgb_pinned_rl,0.2905633062903434,0.28386602804084426,0.2966804184555201,13.0,0.0,0.0,0.0
lexdiv,10,pred-xgb_pinned_rt,0.1020084153789773,0.09311486618915224,0.11026242656112749,40.0,2.0,0.0,0.0
lexdiv,10,pred-xgb_rh,0.2838486847772685,0.27775187720097616,0.2901936349784379,16.0,0.0,0.0,0.0
lexdiv,10,pred-xgb_rl,0.28520632692639336,0.27898506046467964,0.29155105346965077,15.0,0.0,0.0,0.0
lexdiv,10,pred-xgb_rt,0.08959698974250103,0.08124178670767755,0.0983249638383063,44.0,2.0,0.0,0.0
lexdiv,10,random_pinned_rh,0.16596218354981557,0.1578532914525513,0.1738936739249269,29.0,0.0,0.0,0.0
lexdiv,10,random_pinned_rl,0.09770876951984472,0.08975917764289512,0.10592626695635483,41.0,1.0,0.0,0.0
lexdiv,10,random_pinned_rt,0.052328025477530564,0.04390342866888926,0.06086606171768983,54.0,2.0,0.0,0.0
lexdiv,10,random_rh,0.07146778290034682,0.0642613347707238,0.07855533130956263,48.0,2.0,0.0,0.0
lexdiv,10,random_rl,-0.03101811781340235,-0.038223929979488404,-0.024272628044980014,62.0,0.0,0.0,0.0
lexdiv,10,random_rt,-0.011602611077726702,-0.019303348570521246,-0.003894311308674576,60.0,1.0,0.0,0.0
lexdiv,10,rev-chron_pinned_rh,0.17036479761972925,0.1627225716910074,0.17851125090613876,28.0,1.0,0.0,0.0
lexdiv,10,rev-chron_pinned_rl,0.10502168530665672,0.09603124408712845,0.11473727219511357,39.0,1.0,0.0,0.0
lexdiv,10,rev-chron_pinned_rt,0.08307953924033869,0.07497612941424533,0.09124007529300696,46.0,1.0,0.0,0.0
lexdiv,10,rev-chron_rh,0.09472694340063956,0.08729934078730621,0.10275090438745306,42.0,2.0,0.0,0.0
lexdiv,10,rev-chron_rl,-0.011450809569033615,-0.02012780160345229,-0.003039051738744569,60.0,1.0,0.0,0.0
lexdiv,10,rev-chron_rt,0.059821076293655226,0.051885796484030154,0.06813893810376737,51.0,1.0,0.0,0.0
sentcomp,10,chron_pinned_rh,-0.06907010356178102,-0.08012201188258501,-0.057914124570002765,8.0,3.0,0.0,0.0
sentcomp,10,chron_pinned_rl,-0.06908721904743136,-0.07997380876577025,-0.057626786375091985,8.0,3.0,0.0,0.0
sentcomp,10,chron_pinned_rt,-0.06722970116980288,-0.07845968618566171,-0.056875261407706185,7.0,3.0,0.0,0.005
sentcomp,10,chron_rh,-0.05381988210019403,-0.06483518040128751,-0.043276922719716,3.0,1.0,0.0,0.809
sentcomp,10,chron_rl,-0.052558986603001484,-0.06307045499685894,-0.042047077875095526,2.0,1.0,0.0,0.92
sentcomp,10,chron_rt,-0.057936901051226564,-0.0686915240755332,-0.047523132694594544,4.0,0.0,0.0,0.18
sentcomp,10,least-neg-abs_pinned_rh,-0.0796682981434592,-0.09119539096801485,-0.06861144724216908,18.0,7.0,0.0,0.0
sentcomp,10,least-neg-abs_pinned_rl,-0.08507137141091917,-0.09632254833354656,-0.0745581135394085,25.0,4.0,0.0,0.0
sentcomp,10,least-neg-abs_pinned_rt,-0.12680987695349563,-0.13766707739523207,-0.11555794258740472,52.0,1.0,0.0,0.0
sentcomp,10,least-neg-abs_rh,-0.06476738285764684,-0.07530404409124625,-0.054183145242600435,5.0,3.0,0.0,0.074
sentcomp,10,least-neg-abs_rl,-0.06998538624111965,-0.08008866409456511,-0.05930954635238772,9.0,4.0,0.0,0.006
sentcomp,10,least-neg-abs_rt,-0.029186230585432366,-0.04003023523121794,-0.018888365737838503,1.0,0.0,1.0,1.0
sentcomp,10,neg-abs_pinned_rh,-0.1400588637616151,-0.15086443573675987,-0.12877303153277347,55.0,1.0,0.0,0.0
sentcomp,10,neg-abs_pinned_rl,-0.13995705901427652,-0.15036219349972577,-0.12856868562358087,55.0,1.0,0.0,0.0
sentcomp,10,neg-abs_pinned_rt,-0.10538024243367364,-0.11707738607485343,-0.0948802356532531,42.0,7.0,0.0,0.0
sentcomp,10,neg-abs_rh,-0.16550099327284248,-0.17717114831549358,-0.15433422174325437,61.0,3.0,0.0,0.0
sentcomp,10,neg-abs_rl,-0.1651784198718474,-0.17576553463995478,-0.1545141590131929,61.0,3.0,0.0,0.0
sentcomp,10,neg-abs_rt,-0.13063967299960816,-0.14213271300740457,-0.11958626225297442,53.0,1.0,0.0,0.0
sentcomp,10,pin-pred-lr_pinned_rh,-0.09738491047606401,-0.10905679339807423,-0.08534857969249274,34.0,4.0,0.0,0.0
sentcomp,10,pin-pred-lr_pinned_rl,-0.09731224432030199,-0.10894285804544883,-0.08523664703314314,34.0,3.0,0.0,0.0
sentcomp,10,pin-pred-lr_pinned_rt,-0.07774180580720966,-0.08932457437966236,-0.06631337762201864,16.0,6.0,0.0,0.0
sentcomp,10,pin-pred-lr_rh,-0.0964826723350648,-0.10724002388116488,-0.08430642536409548,32.0,4.0,0.0,0.0
sentcomp,10,pin-pred-lr_rl,-0.0964826723350648,-0.10724002388116488,-0.08430642536409548,32.0,4.0,0.0,0.0
sentcomp,10,pin-pred-lr_rt,-0.07638122605507233,-0.08709481874722967,-0.06518802013626165,14.0,7.0,0.0,0.002
sentcomp,10,pin-pred-xgb_pinned_rh,-0.10359618470382594,-0.11547255264607172,-0.09204447577552184,41.0,4.0,0.0,0.0
sentcomp,10,pin-pred-xgb_pinned_rl,-0.10246048951793077,-0.11441684782796992,-0.09110994978364603,39.0,4.0,0.0,0.0
sentcomp,10,pin-pred-xgb_pinned_rt,-0.0835861143195422,-0.09545327849277495,-0.07325121688325961,23.0,6.0,0.0,0.0
sentcomp,10,pin-pred-xgb_rh,-0.09910440319302882,-0.10948797543795916,-0.08717614797012452,36.0,4.0,0.0,0.0
sentcomp,10,pin-pred-xgb_rl,-0.09793173545206021,-0.10846974265878477,-0.08661124629492212,34.0,4.0,0.0,0.0
sentcomp,10,pin-pred-xgb_rt,-0.07452418045297174,-0.08520732226426694,-0.06354441472909815,12.0,6.0,0.0,0.003
sentcomp,10,pos-abs_pinned_rh,-0.10643565495945664,-0.11742409979991421,-0.09418721727743815,44.0,3.0,0.0,0.0
sentcomp,10,pos-abs_pinned_rl,-0.10918805686860668,-0.12029209971770392,-0.09776882502881289,46.0,3.0,0.0,0.0
sentcomp,10,pos-abs_pinned_rt,-0.07979579909606017,-0.09041141816514113,-0.06903991596240411,18.0,6.0,0.0,0.0
sentcomp,10,pos-abs_rh,-0.11245431335472429,-0.12349246813961746,-0.10027291861586016,49.0,3.0,0.0,0.0
sentcomp,10,pos-abs_rl,-0.11585906532036147,-0.1267382211348462,-0.10463801747279124,51.0,1.0,0.0,0.0
sentcomp,10,pos-abs_rt,-0.07982900095061543,-0.0901542096837991,-0.06947893493363638,18.0,8.0,0.0,0.0
sentcomp,10,pos-rel_pinned_rh,-0.10089794875407078,-0.1118499656824755,-0.08917725719236386,38.0,4.0,0.0,0.0
sentcomp,10,pos-rel_pinned_rl,-0.10510190390046377,-0.1161675250712974,-0.09371158866644,42.0,4.0,0.0,0.0
sentcomp,10,pos-rel_pinned_rt,-0.07687866358886905,-0.08796713827853753,-0.06676285729646546,14.0,6.0,0.0,0.0
sentcomp,10,pos-rel_rh,-0.10502029928354498,-0.11623467934501414,-0.09335755910690345,42.0,4.0,0.0,0.0
sentcomp,10,pos-rel_rl,-0.1104475372309314,-0.12135333892949449,-0.09917762027394811,47.0,3.0,0.0,0.0
sentcomp,10,pos-rel_rt,-0.07584722562998343,-0.08637303359429328,-0.06466217607319502,14.0,6.0,0.0,0.0
sentcomp,10,pred-nb_pinned_rh,-0.18150509467087494,-0.19301227181653116,-0.1700442585002826,63.0,1.0,0.0,0.0
sentcomp,10,pred-nb_pinned_rl,-0.18157363025057466,-0.1933498647396839,-0.17010052177968077,64.0,1.0,0.0,0.0
sentcomp,10,pred-nb_pinned_rt,-0.11226680554224963,-0.12385910123895333,-0.10168787029957499,49.0,4.0,0.0,0.0
sentcomp,10,pred-nb_rh,-0.1921736215794727,-0.20319200661220535,-0.1811306600646278,65.0,1.0,0.0,0.0
sentcomp,10,pred-nb_rl,-0.19224234625148892,-0.20322223204198678,-0.18115447709019714,66.0,1.0,0.0,0.0
sentcomp,10,pred-nb_rt,-0.13509675883247857,-0.1454673651676154,-0.12414743112988455,54.0,2.0,0.0,0.0
sentcomp,10,pred-xgb_pinned_rh,-0.15922742706231402,-0.1705293290017869,-0.1478570188335009,57.0,1.0,0.0,0.0
sentcomp,10,pred-xgb_pinned_rl,-0.16003564168167803,-0.17116881566398373,-0.14885599014954254,58.0,2.0,0.0,0.0
sentcomp,10,pred-xgb_pinned_rt,-0.10594821656046009,-0.11676145550412154,-0.09498229465774186,43.0,6.0,0.0,0.0
sentcomp,10,pred-xgb_rh,-0.16170036904514323,-0.17335284243033106,-0.14990356698826188,59.0,1.0,0.0,0.0
sentcomp,10,pred-xgb_rl,-0.1625429929559676,-0.17399447609522237,-0.15074415214211237,60.0,2.0,0.0,0.0
sentcomp,10,pred-xgb_rt,-0.11161215796122456,-0.12290883834584418,-0.10139431916878602,48.0,5.0,0.0,0.0
sentcomp,10,random_pinned_rh,-0.08691947591227356,-0.0980917891814986,-0.07642881362681764,26.0,5.0,0.0,0.0
