article,n_candidates,n_picks,cutoff_votes_rel,n_above_cutoff,n_tied_at_cutoff,slots_within_cutoff_tie,cutoff_inclusion_probability,ambiguous_cutoff
/story/2000138726456/zwei-milliarden-euro-fuer-wien-energie-wien-segnete-vertrag-mit,191,2,82,1,1,1,1,FALSE
/story/2000138715383/auszahlung-von-klimabonus-und-teuerungsabgeltung-beginnt,230,3,120,2,1,1,1,FALSE
/story/2000138738952/fuehrender-manager-von-lukoil-nach-sturz-aus-fenster-tot,64,5,45,4,1,1,1,FALSE
/story/2000138737393/kaempfe-in-der-suedukraine-werden-mit-enormer-haerte-gefuehrt,91,4,175,3,1,1,1,FALSE
/story/2000138740390/polen-will-1-3-billionen-euro-von-berlin,214,2,242,1,1,1,1,FALSE
/story/2000138730635/polen-beziffert-weltkriegsschaeden-auf-mehr-als-1-3-billionen-euro,174,4,100,3,1,1,1,FALSE
/story/2000138724733/russischer-oel-topmanager-stirbt-bei-fenstersturz-in-moskau,734,3,181,2,1,1,1,FALSE
/story/2000138720314/ein-un-bericht-ueber-chinas-brutalen-umgang-mit-uiguren-unter,40,4,32,3,1,1,1,FALSE
/story/2000138739820/michael-ludwig-ortet-kommunikatives-versaeumnis-der-wien-energie,500,4,224,3,1,1,1,FALSE
/story/2000138731740/neue-schmid-chats-kurz-getreue-dirigierten-budgetprozess-des-finanzressorts,486,3,623,2,1,1,1,FALSE
/story/2000138724321/oevp-tirol-stuerzt-in-umfragen-vor-landtagswahl-auf-26-prozent,355,3,268,2,1,1,1,FALSE
/story/2000138713968/kandidatenrekord-vor-bundespraesidentenwahl,205,6,42,5,1,1,1,FALSE
/story/2000138710335/spannungen-in-wiener-koalition-wegen-wien-energie-krise,583,5,75,4,1,1,1,FALSE
/story/2000138709119/der-rot-gruene-clinch-geht-in-die-naechste-runde,258,4,39,3,1,1,1,FALSE
/story/2000138726264/mann-gewinnt-wettbewerb-mit-ki-gemaelde-kuenstler-sauer,228,5,54,4,1,1,1,FALSE
/story/2000138698707/pauls-paylivery-masche-wie-betrueger-auf-willhaben-vorgehen,282,5,72,4,1,1,1,FALSE
/story/2000138744605/bologna-verpasst-ersten-saisonsieg-trotz-arnautovic-treffers,16,2,22,1,1,1,1,FALSE
/story/2000138744328/alonso-entschuldigte-sich-bei-hamilton-fuer-verbale-entgleisung,28,2,51,1,1,1,1,FALSE
/story/2000138740327/noch-ein-bisschen-ewigkeit,9,2,4,1,1,1,1,FALSE
/story/2000138708742/carina-wenninger-die-stimme-der-oesterreichischen-fussballerinnen,10,5,7,4,1,1,1,FALSE
/story/2000138706559/affaere-um-paul-pogba-die-geier-kreisen-um-die-bleus,132,7,46,6,1,1,1,FALSE
/story/2000138730314/neues-mahnmal-im-botanischen-garten-in-linz,41,4,25,3,1,1,1,FALSE
/story/2000138735082/missbrauchsprozess-gegen-trainer-sieben-junge-opfer-und-6-5-jahre,34,2,54,1,1,1,1,FALSE
/story/2000138723433/fall-kellermayr-laut-innenminister-einmal-taeglich-polizeikontakt,55,3,42,2,1,1,1,FALSE
/story/2000138709707/bleibt-burgtheaterdirektor-martin-kusej-oder-muss-er-gehen,65,3,27,2,1,1,1,FALSE
/story/2000138731475/fake-wahlbeobachter-bei-ungarn-wahl-fpoe-politiker-krauss-klagt-vice,52,4,54,1,3,3,1,FALSE
/story/2000138716695/was-armin-wolf-und-e-control-ex-chef-boltz-an,165,5,31,4,2,1,0.5,TRUE
/story/2000138742306/webb-macht-sein-erstes-bild-von-einem-exoplaneten,38,2,59,1,1,1,1,FALSE
/story/2000138711893/hallstatt-2022-urgeschichte-trifft-auf-hightech,8,3,3,2,1,1,1,FALSE
/story/2000138725758/hoechste-co2-konzentration-der-atmosphaere-seit-einer-million-jahre,92,4,30,3,1,1,1,FALSE
/story/2000138701083/fachleute-entschluesseln-erbgut-der-unsterblichen-qualle,56,5,27,4,1,1,1,FALSE
/story/2000138642636/toepfernder-ex-wirt-was-rauskommt-ist-relativ-wurscht,26,3,17,2,1,1,1,FALSE
/story/2000138717367/filmfestspiele-von-venedig-2022-die-besten-looks-der-stars,41,1,22,0,1,1,1,FALSE
/story/2000138701123/wahre-freundschaft,97,4,106,3,1,1,1,FALSE
/story/2000138700640/wien-energie-rettung-kein-guter-umgang,219,5,48,4,1,1,1,FALSE
/story/2000138726550/hausaufgaben-waesche-kochen-der-ewige-kampf-darum-wer-es-macht,204,5,44,4,2,1,0.5,TRUE
/story/2000138776199/gazprom-kuendigt-erneuten-lieferstopp-ueber-nord-stream-an,265,2,286,1,1,1,1,FALSE
/story/2000138759562/billa-will-veganen-shop-in-wien-eroeffnen,158,6,38,5,2,1,0.5,TRUE
/story/2000138741258/wien-energie-will-von-termingeschaeften-nicht-abruecken,328,5,48,4,1,1,1,FALSE
/story/2000138753719/25-jaehriger-nach-attacke-bei-christopher-street-day-in-muenster,110,4,181,3,1,1,1,FALSE
/story/2000138760106/russische-propaganda-rund-um-saporischschja-quantitaet-vor-qualitaet,46,2,22,1,1,1,1,FALSE
/story/2000138734338/spaete-anerkennung-fuer-die-hinterbliebenen-der-muenchen-terroropfer,20,3,10,2,3,1,0.333333333333333,TRUE
/story/2000138745360/biden-warnt-vor-ende-der-demokratie-und-sagt-trump-repraesentiert,154,6,39,5,1,1,1,FALSE
/story/2000138737160/orban-kehrt-weissbaertig-aus-ungewoehnlich-langem-kroatien-urlaub-zurueck,190,4,170,3,1,1,1,FALSE
/story/2000138765189/finanzstadtrat-hanke-zu-turbulenzen-rund-um-wien-energie-wir-waren,250,3,69,2,1,1,1,FALSE
